fecha,Crédito SF sector privado,Crédito empresarial,Crédito consumo,Crédito hipotecario,Tasa activa TAMN,Tasa pasiva TIPMN,Tasa referencia BCRP,Tipo de cambio,Índice BVL,IPC Lima,PBI desestacionalizado,Demanda interna,Reservas internacionales,Liquidez M1,Liquidez M2,Liquidez M3,Tasa interbancaria,IPC Subyacente,indice_precios_inmuebles,embi_peru
2007-12-31,-1.6369224885319325,-1.8071095416689622,-1.5470999364382714,-1.6601309292291695,1.9073326497633971,1.3724880998667428,0.633768931244972,-0.5968688914662318,0.0004298496370432094,-1.530076867104176,-1.9394238857647206,-1.9264999752152363,-2.2687247498339707,-1.4239007136019388,-1.5943483152891247,-1.5495781266695035,0.616549452563522,-1.5900392213650836,-2.6108284519608103,-0.3182546566609925
2008-03-31,-1.6159481170883727,-1.7428609983194085,-1.5095806832862477,-1.63898834812718,2.211271483220971,1.1974869712942997,0.771599513114534,-0.8730007416474911,-0.4198252783598991,-1.4645837029168987,-1.809976417041654,-1.9852775182436333,-1.885170850661856,-1.3716212617169095,-1.553716755792504,-1.535220980365419,0.5634388681704303,-1.5430773989559483,-2.5742573156290174,0.46326436519547326
2008-06-30,-1.5728013429383867,-1.6938881518608953,-1.4611142428053827,-1.6111753501515063,2.280577140570557,1.3842770879783908,0.9553736222739498,-1.0566032747848029,-0.3801533790994995,-1.3921019191624269,-1.715655114849989,-1.5686366298220225,-1.6817381963110154,-1.3301244186490024,-1.4795052383151217,-1.475018350507631,0.9130273858414518,-1.4833933132683537,-2.3182593613064664,-0.26117668982451886
2008-09-30,-1.5204535043046141,-1.6235123078609217,-1.4161287900215729,-1.5790169569936636,2.365626552254436,1.6663827242131275,1.322921840592782,-0.8401519837677169,-1.1015939158069126,-1.3128362207443496,-1.6710225108847296,-1.6509122240467153,-1.715150783259731,-1.3157249483250548,-1.5277312037073214,-1.485166014771855,1.2738647252869302,-1.4218251446447425,-2.0622614069839154,0.26792524096686426
2008-12-31,-1.4400976534526326,-1.5283109286766516,-1.3825719033985395,-1.5303912558064559,2.2305269204006275,1.9930269168589143,1.460752422462344,-0.3666753203412858,-2.066629488422944,-1.2440855631543886,-1.6730286655586992,-1.5775336919259364,-1.9398013798224767,-1.3014838594450353,-1.6086983078888952,-1.5173446880165258,1.481336278439994,-1.354516842111829,-2.0119760945277,5.485055160601522
2009-03-31,-1.4038697149083272,-1.5052763223745353,-1.3874415281953285,-1.47310986096997,1.999895871006875,2.2153422383583847,1.322921840592782,-0.13482000469437075,-1.9915999392647181,-1.2202503771705242,-1.6968630195096972,-1.9743105327613162,-2.019132505251431,-1.3047143576222282,-1.5881057056940475,-1.4904538322506813,1.3714531330285085,-1.296972490210043,-2.0759755831083377,4.25077608769803
2009-06-30,-1.4126654113958297,-1.4934847439893058,-1.3766411806413927,-1.4559953543788802,1.4595810745875846,1.3427980087231808,0.082446603766724,-0.5408735116283916,-1.2090697005468862,-1.2160158125215663,-1.7148712882951862,-1.7730395151318463,-1.962368144018156,-1.3063828279338032,-1.5309072883071375,-1.4540928527226602,0.20712911447449028,-1.261295412610752,-2.0759755831083377,2.0822030609209023
2009-09-30,-1.4021188887627654,-1.4757916992372515,-1.3631132816622578,-1.4317068096675132,1.2070389450247077,-0.10369068931886755,-1.2958592149288959,-0.7031760726159167,-0.8205493334133137,-1.226262048465028,-1.675606817706935,-1.798661848753699,-1.8948329234936694,-1.2749564112600191,-1.457700983470928,-1.3956057124655037,-1.2490788652088283,-1.2439996613184683,-1.8794057253249505,1.30952182829021
2009-12-31,-1.3826270841567985,-1.442185449593824,-1.3403631547431312,-1.3984686777309527,1.0695156563631818,-1.02175754136161,-1.433689796798458,-0.9002021687745515,-0.8597356138231235,-1.2250647007849884,-1.5571183171648286,-1.5458489237937685,-1.8230733497967206,-1.219374439590516,-1.3888805630710122,-1.3460065166916206,-1.4613449577243325,-1.232159759256775,-1.8474059810346315,0.11796625177151815
2010-03-31,-1.351965072493094,-1.3935446674024679,-1.3293660384512465,-1.3702286070026484,1.0198320007873665,-1.3990280880745452,-1.433689796798458,-0.9694958657490071,-0.7986982092273837,-1.1890941740197696,-1.4632199408086746,-1.6425638066493549,-1.7117109968681883,-1.1607974565670418,-1.3467595112623072,-1.3124509691611297,-1.491779584689561,-1.2074668024402835,-1.605122202836503,-0.05351552404964203
2010-06-30,-1.30571019238479,-1.3144416553887062,-1.3013821405565842,-1.3307980721960269,0.8577566685103069,-1.4813876708225777,-1.2958592149288959,-0.9911870620349966,-0.756012024912142,-1.1629466542342477,-1.3038651814008955,-1.2093390367756014,-1.7034717023657635,-1.1231376681941752,-1.3025347094204787,-1.2745795607526724,-1.3383229609838398,-1.1777768653422402,-1.486266009758176,0.050680925770941736
2010-09-30,-1.2756457247675643,-1.2957389664310914,-1.219147309741418,-1.2881410482489322,0.5323046288817136,-1.1069012721583982,-0.7445368874506479,-1.0801727811692765,-0.5846667294276653,-1.126493117971357,-1.2503611524500193,-1.1879326554487253,-1.3500540253438982,-1.0856287717927673,-1.2257555801131206,-1.2068555970418686,-0.8379480000224471,-1.1583499890857927,-1.4085523450531157,-0.15644323876635752
2010-12-31,-1.2397579495098803,-1.2798183984778677,-1.1461076510781625,-1.2317819059701804,0.6951888092882591,-0.7967090841074367,-0.468875723711524,-1.08242432301997,0.3436945627737353,-1.126921803887945,-1.1689389547795899,-0.9829139463581273,-1.1362669657838416,-1.016640717140089,-1.1094992274658637,-1.1088527249667344,-0.4936632151928874,-1.1372776392909314,-1.353695640555426,-0.4378095896277291
2011-03-31,-1.185142371636646,-1.200614774425935,-1.0989290527033397,-1.1755406808705815,0.6684076566544557,-0.6046407769618206,-0.1932145599724,-1.1449076673246659,0.5872430482363208,-1.0796264706104388,-1.0855718465430422,-1.213838104674756,-1.0118284699231186,-0.9946242614669203,-1.07751521880965,-1.075424244331054,-0.24124142736875748,-1.104594840428138,-1.1068404703158237,-0.5291425371386187
2011-06-30,-1.1080934227892039,-1.0677279088256686,-1.0485928910939528,-1.1074353852168608,0.6336335559694214,-0.14716813993735675,0.17433365834643216,-1.1303206690921794,0.15008321196708566,-1.017967638168714,-1.0415973411978887,-0.9153938329000469,-0.9453687392521158,-0.9768997466989991,-1.097197388435166,-1.0687076649984932,0.16225250206178976,-1.0471106582358003,-0.9331275727398071,0.16867403368499634
2011-09-30,-1.0639224193740882,-1.0038840372768334,-1.006206654984074,-1.0513733276202017,0.6687048711902249,0.17023128965854306,0.220277185636286,-1.237605577333353,0.2022794799977753,-0.9629298265058368,-0.9702637222862028,-0.9715249661673862,-0.8524630236823636,-0.9194017763394886,-1.063052601733158,-1.0455631597768436,0.21393459487465347,-1.0059766455609738,-0.7365577149564192,0.08472791911481796
2011-12-31,-1.0244811598753927,-0.9456026214442981,-0.9489866071872723,-0.9841964744624272,0.7540797465900198,0.2046294879412006,0.220277185636286,-1.3130469388454769,0.0888256984722027,-0.9138549578544876,-0.8825021902000211,-0.748943337623438,-0.8024822176361159,-0.8746610535912217,-1.027240415756265,-1.0133175809988575,0.2147404106378589,-0.9665008047538244,-0.7457004990393675,0.6762275355769373
