fecha,Crédito SF sector privado,Crédito empresarial,Crédito consumo,Crédito hipotecario,Tasa activa TAMN,Tasa pasiva TIPMN,Tasa referencia BCRP,Tipo de cambio,Índice BVL,IPC Lima,PBI desestacionalizado,Demanda interna,Reservas internacionales,Liquidez M1,Liquidez M2,Liquidez M3,Tasa interbancaria,IPC Subyacente,embi_peru
2007-01-01,69819.4704288,39105.687117208,11831.0232587766,7881.54078481538,23.75,3.17,4.5,3.1925,13633.78,62.5631613837047,96.1704480882607,93.2303106917057,17849.37171875,17720.111612,82579.596567,124721.3870822,4.47,62.6756285764583,122.47826086956522
2007-02-01,70717.51374107,39559.563157262,12056.9093211079,7995.38432183009,23.57,3.24,4.5,3.1903,15150.74,62.7254923290977,96.2881263161898,88.8989687916799,18135.788338558,18071.896172,85842.029725,127949.0263743,4.48,62.8372619299165,127.05
2007-03-01,72596.32102162,40630.0719772574,12336.7108613191,8132.87039118353,23.4,3.22,4.5,3.18561363636364,17152.82,62.9443010952826,97.8314819751364,95.8545612432049,18427.065849057,19144.793538,89837.639732,132484.04216132,4.51,63.0473358990571,131.8181818181818
2007-04-01,74195.32338948,41664.4402653269,12608.628826091,8279.94003762214,22.7813333333333,3.1,4.5,3.17828947368421,20674.78,63.0564721201698,97.4418401983132,98.3570111219344,19703.97977918,19148.938407,94523.790386,138682.05171998,4.51,63.1278616997818,117.76190476190476
2007-05-01,75878.92549683,42288.9443664249,13065.2382779562,8431.4777033389,22.13,3.12,4.5,3.16752272727273,20129.5,63.3666290173321,100.527037479075,107.184472888541,21270.882176656,18761.899696,96594.862494,142112.50918394,4.49,63.1822808910592,109.65217391304348
2007-06-01,77226.43963749,44500.9200117845,13432.2910013319,8596.52924452364,22.41,3.13,4.5,3.1702,22365.9,63.6642570439849,99.5749215128561,99.2128146919206,21527.987381704,19274.713874,100303.463086,145562.69808049,4.52,63.287757605965,103.95238095238095
2007-07-01,78477.658902,45387.6072509767,13688.0606578176,8744.5836701657,23.2684,3.1697,4.75,3.16090909090909,23418.17,63.9670093814535,100.210927651919,100.443853932366,23333.01136076,20309.0411,103764.408333,150155.38875196,4.69,63.4303659117624,128.9090909090909
2007-08-01,79557.26584304,45928.3784950448,14075.4409992043,8911.91536907082,22.86484,3.18484,4.75,3.15818181818182,20846.26,64.0545851031271,100.651163150322,102.171396768093,24069.498417722,20471.752884,101243.402325,149469.98013396,4.77,63.6253143286711,168.91304347826087
2007-10-01,81454.493395,48491.4976933074,14776.5376530189,9234.60620447365,22.75742,3.35258,5.0,3.01986363636364,21696.27,64.6492926190962,102.132121038679,104.457496244386,24889.700433333,20990.200969,107949.649152,154705.909566,4.98,63.9651560873719,138.3913043478261
2007-11-01,85689.261382,52183.1911920922,15156.493829535,9401.27721257286,22.543,3.41769,5.0,3.001,18255.97,64.7210579671552,103.674025022899,105.567331689782,26347.593833333,21446.624901,107019.319843,154200.291856,4.99,64.3431523834497,175.27272727272728
2007-12-01,88191.467168,54029.2768759058,15597.9792328987,9479.43615983551,22.28445,3.34774,5.0,2.980775,17524.79,65.0143122764871,104.519690129532,106.721336415472,27688.761066667,24476.05034,109409.208231,157745.500608,4.99,64.5621312579215,174.47619047619048
2008-01-01,88236.25958191,55002.447038949,15880.1213589618,9612.91783452924,23.25774,3.24677,5.25,2.95031818181818,15009.98,65.1586741108229,105.308133148231,101.997000001706,30736.578703072,23287.01957,107969.459903,154603.04157626,4.44,64.7251945890526,194.95652173913044
2008-02-01,88303.65711578,55635.9669414977,16195.4709745973,9772.78071438503,23.3324137931035,3.23827586206897,5.25,2.9055,17766.94,65.7496751808387,107.402329433869,102.495064625279,32306.01449827,24572.382756,114879.933722,159691.56462293,5.02,64.9566176856078,208.9047619047619
2008-03-01,86872.97808525,56337.1281915657,16609.2212595853,9930.70816724898,23.8580645,3.259032258,5.25,2.81092105263158,17387.47,66.4346886068455,107.343803572593,106.865091939026,33576.401018182,25902.348079,117525.068351,159856.78139,5.21,65.3117577651741,221.76190476190476
2008-04-01,90691.15923265,57598.4934294523,17032.5496417745,10119.4682143332,23.8103333333333,3.24233333333333,5.5,2.74786363636364,17429.94,66.5371442717145,109.026491768101,115.680553991645,35625.203017544,26152.702239,121842.305483,166336.5972188,5.37,65.5742362676283,181.5909090909091
