,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Crédito empresarial_log_diff,0.01032072505371704,0.04989582822117232,0.8580587153482597,0.17594974264074825,-0.058751375439888384,-0.18712287282497309,-0.28070456257311566,-0.04626099361894929,-0.1595393858365422,-0.12620051301798413,0.15664858097364184,0.14427228211710372,-0.01941060849625815,-0.18059576156887636,0.005927508204128057,-0.07135424111434002,0.0027653869601553392,0.0022438275648332213
Crédito consumo_log_diff,0.42943753896371123,0.6834695417087562,0.1608191551196685,-0.055940431919221996,-0.24293270701677505,0.2434720923026206,0.1055221427285453,-0.24012765514038203,-0.044330512776539724,0.2345333664082889,-0.13432266833953876,0.223438839025611,-0.07987923582939285,-0.00027714113057483215,0.11856469189038431,0.03280817819477958,0.00042323133526828014,0.0006982892067182601
Crédito hipotecario_log_diff,0.14547950036556137,0.4523358081545298,0.5768758270488101,0.13598341484504972,-0.35033963986288974,0.3816392423344313,0.051202157355724025,0.09047992565878828,0.21856531064525364,-0.09306906080202135,0.27568536896200596,-0.11337694057256094,0.03153318652495357,0.10374580319785823,0.02786609088874923,-0.0031390826086662247,-0.002148833768000173,-0.0016598271508197757
Tipo de cambio_log_diff,0.33743258113986185,-0.534621020047607,0.27561430215836435,0.3613603854610527,0.37982102080707564,0.2547411382126674,0.08798574329969142,0.3003709142934362,-0.02412337948916489,0.25851125353757026,0.028534940688911065,-0.03620078423331475,0.06680887040726376,-0.08890244399898971,0.13507586832089727,0.004766064689981866,0.023815044053595334,0.001069587911540915
Índice BVL_log_diff,-0.5918648173344541,0.3159207779452595,-0.5977194750002565,-0.03618030282232033,-0.10228595079083186,0.06368163646548244,-0.22845580092790246,0.10057065421252742,-0.07506775189926,-0.1219653965796836,0.030513873821883076,0.09682622007642805,0.26882562830828466,0.003939446844183669,0.15898669754445868,0.013770320623071965,-0.0012629992499565792,-0.002209679393582064
IPC Lima_log_diff,0.7884368307395041,0.11716128846549816,0.014476177267685955,-0.1704357104106564,0.052852613855463755,-0.3271023438758293,-0.18414059409304476,0.2368064867512293,0.07468420801480677,0.23820794107329163,0.13809391494767176,0.1746577872076354,0.08031975622986784,0.1479689331783448,-0.09687863429606108,-0.006738065168144884,-0.004212534126722114,-0.0014451220324649791
PBI desestacionalizado_log_diff,0.023155843574863208,0.3092368911925264,-0.22898560869354176,0.8191464512153153,0.12769264211004772,-0.10076525052811712,0.09987460082873585,0.08565355299305467,0.2910233669870946,-0.1485643793750102,-0.06221023385825482,0.15972176127217816,-0.017273060865156006,-0.06747591956343357,-0.055151429041571214,0.08148482735905811,0.004930147003463411,0.0032828136411189564
Demanda interna_log_diff,0.015621651884271021,0.23333100017667688,-0.08687750965574792,0.8322787557869282,-0.08436405973111456,-0.2359132765366023,-0.052803447150485634,-0.28472762146609343,-0.2006869250902607,0.17519609534247046,0.055573694208769335,-0.16187149871905257,0.07298091763959308,0.08268507832447218,-0.005709841446846398,-0.004368556301080402,-0.0072686095870507,-0.001951463259211524
Reservas internacionales_log_diff,-0.38818203105215815,0.6269548497290667,0.17607422185333224,-0.3270853555458016,0.24839989793618913,-0.21369822774776218,-0.17454403062880766,-0.14143481875164374,0.30066868341974606,0.1882875724517066,-0.013588801167180486,-0.15824383829577768,0.05489963487685587,-0.13634354231972423,0.03091679728417489,0.02618533970688759,-0.01265718566484695,0.004014126505184331
indice_precios_inmuebles_log_diff,-0.04314394060147552,0.5172990685891723,0.511924865333895,-0.03341791057884236,-0.3025059177489191,-0.3279894081858268,0.21007081780701778,0.37939502721667173,-0.1281160304379667,-0.03403778391759377,-0.25257564617795836,-0.09573474296793046,0.05333361486634089,-0.00601660975894218,0.010630930241840465,0.026522498689917056,0.007205832892673015,-0.0016719734677648355
Liquidez M1_log_diff,-0.5169036750803194,0.11864493269956373,0.567400826314124,-0.05440527494756165,0.5555958803822665,-0.08346061416809833,-0.05151474176033006,-0.0518084869513972,-0.09066122337969325,-0.1276993183061125,0.00811527706529015,0.035261466826385895,-0.06569986065888646,0.18195706799224198,0.08471833869326055,0.12827267106963136,-0.005559249850926078,0.0013685745164329526
Liquidez M2_log_diff,-0.822316077376754,0.49197561749039875,-0.030723286517965506,-0.035608846482941214,0.15168075538548417,0.15598480525908948,0.04289833786378982,0.010286130899789594,-0.07616561947148699,0.07064054049209907,0.03757017346260445,0.02748351678896987,0.011966903353927262,0.01368210339762194,-0.11730631943882482,-0.04344417782307544,0.1239583605913517,0.0064864705227166315
Liquidez M3_log_diff,-0.7728742827479793,0.38867100712861324,0.13276587829025363,0.08457944458342793,0.25920678765486765,0.31006114536429064,0.10739904034927425,0.09572112143888938,-0.09696369290954861,0.07806097298802261,-0.03962589885405837,0.05885243739178899,0.05759624491814637,-0.008049960616657454,-0.13172391641937287,-0.07925341876056612,-0.09617813206219235,-0.009334154322216697
Tasa activa TAMN_diff,0.47925587979235773,0.42326766900970225,-0.2746293813367603,-0.1897524365210894,0.2759669504836975,-0.2591883503368241,0.5136107844742076,-0.06635177938138216,-0.07210265793322657,-0.09029122993590698,0.24103545692385484,0.01569501314220145,0.027369478968235335,-0.04605055717055165,0.06552975181826601,-0.0582906785895195,-0.0048049208486054765,0.00021003464451779138
Tasa pasiva TIPMN_diff,0.830630930842378,0.30067504415154994,-0.1452909128571845,-0.15504375282167246,0.04862242985522774,0.23202986024165914,-0.07610038620731185,0.013418689168201797,-0.21350984408411278,-0.036688441317487615,0.08824328897468411,-0.0667483086403623,0.04940026877771734,-0.11308532075661412,-0.12173398340694497,0.192797450447025,-0.0038173050579821117,-0.001400877106694768
Tasa referencia BCRP_diff,0.8044179280758167,0.43425171479233504,-0.1257480800059443,0.06521181635145011,0.25677418346289993,0.08569427926275418,-0.19691255944382888,0.033279177126314376,0.006671937024197636,-0.11167950654838354,-0.1136815171911369,-0.06274799791696872,-0.05794108972986191,0.019302792068250692,0.027735240080790178,-0.08483857574056315,0.019837056829045893,-0.0610762772819926
Tasa interbancaria_diff,0.8197829070847443,0.41757475986885934,-0.13185623181815675,0.06630193030486932,0.21976602553816574,0.1320453218828058,-0.17430067812859376,0.056108002680605625,-0.03321413549185663,-0.109566556652658,-0.11934857972776984,-0.065578228754714,-0.02557336883854411,0.04002857581205576,0.014505270856129295,-0.09277435763358656,-0.007537612489445904,0.062005744193553786
embi_peru_diff,0.570524944408972,-0.3643991858682257,0.5420564886815464,-0.08071169808809936,0.10543071225028672,0.0691835461381013,0.14063456774394414,-0.2990703201592022,0.08873397986837374,-0.09633740672152631,-0.16677793503849203,0.03963088434763822,0.28016954581141984,0.02871870259182775,-0.061823303325535366,-0.017757603627959577,0.01833110512217365,-0.0017187582794673823
