,Inicio,Fin,Obs,Nulos,Nulos %
Crédito SF sector privado,2007-01-01,2025-12-01,228,0,0.0
Crédito empresarial,2007-01-01,2025-12-01,228,0,0.0
Crédito consumo,2007-01-01,2025-12-01,228,0,0.0
Crédito hipotecario,2007-01-01,2025-12-01,228,0,0.0
Tasa activa TAMN,2007-01-01,2025-12-01,228,0,0.0
Tasa pasiva TIPMN,2007-01-01,2025-12-01,228,0,0.0
Tasa referencia BCRP,2007-01-01,2025-12-01,228,0,0.0
Tipo de cambio,2007-01-01,2025-12-01,228,0,0.0
Índice BVL,2007-01-01,2025-12-01,228,0,0.0
IPC Lima,2007-01-01,2025-12-01,228,0,0.0
PBI desestacionalizado,2007-01-01,2025-12-01,228,0,0.0
Demanda interna,2007-01-01,2025-12-01,228,0,0.0
Reservas internacionales,2007-01-01,2025-12-01,228,0,0.0
Liquidez M1,2007-01-01,2025-12-01,228,0,0.0
Liquidez M2,2007-01-01,2025-12-01,228,0,0.0
Liquidez M3,2007-01-01,2025-12-01,228,0,0.0
Tasa interbancaria,2007-01-01,2025-12-01,228,0,0.0
IPC Subyacente,2007-01-01,2025-12-01,228,0,0.0
